exporter,importer,commodity,mode,year,source,value_usd
Turkmenistan,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,8601298.0
Greece,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,8564914.18
Germany,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,8552971.8
Slovakia,Romania,Fertilizer,Road,2022,UN Comtrade public preview,8535562.34
Spain,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,8526862.5
Russia,Burkina Faso,Fertilizer,Road,2022,UN Comtrade public preview,8499418.023
Italy,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,8417602.0
Netherlands,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,8336394.74
Egypt,Namibia,Fertilizer,Sea,2022,UN Comtrade public preview,8288048.85
Algeria,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,8071008.886
South Africa,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,8027070.708
United Kingdom,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,7831690.0
Portugal,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,7829945.731
Greece,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,7762458.0
Thailand,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,7616906.0
Greece,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,7586501.49
Indonesia,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,7081560.0
Bulgaria,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,6893748.85
Azerbaijan,Moldova,Fertilizer,Sea,2022,UN Comtrade public preview,6877728.0
Hungary,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,6822330.0
Israel,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,6821012.0
Finland,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,6810736.0
Lithuania,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,6776081.372
Nigeria,Burkina Faso,Fertilizer,Road,2022,UN Comtrade public preview,6586656.928
Romania,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,6511862.054
South Africa,Angola,Fertilizer,Road,2022,UN Comtrade public preview,6502784.943
Germany,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,6483396.0
Croatia,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,6463385.76
Russia,Romania,Fertilizer,Road,2022,UN Comtrade public preview,6348267.02
